Date,Title,Company,Location,Seniority,Employment Type,Job Functions,Industries,API Link,Original Link,Niveau Étude,Experience,Keyword
2025-12-15,"Officer, Client Service Stanbic IBTC Pension Managers",Stanbic Bank Tanzania,"Lagos, Lagos State, Nigeria",Entry level,Full-time,Finance and Sales,Financial Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4327791784,https://ng.linkedin.com/jobs/view/officer-client-service-stanbic-ibtc-pension-managers-at-stanbic-bank-tanzania-4327791784,Bac+8 / Doctorat,2 ans/years,General Search
2025-12-15,Estates Officer,Stanbic Bank Tanzania,Johannesburg Metropolitan Area,Entry level,Full-time,Other,Financial Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4327821742,https://za.linkedin.com/jobs/view/estates-officer-at-stanbic-bank-tanzania-4327821742,Bac+5 / Master / Ingénieur,5 ans/years,General Search
2025-12-15,Finance Assistant,The Shoprite Group of Companies,"Centurion, Gauteng, South Africa",Entry level,Full-time,Finance and Sales,Retail,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4343782136,https://za.linkedin.com/jobs/view/finance-assistant-at-the-shoprite-group-of-companies-4343782136,Bac+5 / Master / Ingénieur,N/A,General Search
2025-12-15,"Officer, Underwriting, Stanbic IBTC Insurance Limited",Stanbic Bank Tanzania,"Lagos, Lagos State, Nigeria",Entry level,Full-time,Sales and Business Development,Financial Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4327791782,https://ng.linkedin.com/jobs/view/officer-underwriting-stanbic-ibtc-insurance-limited-at-stanbic-bank-tanzania-4327791782,Bac+5 / Master / Ingénieur,3 ans/years,General Search
2025-12-15,"Graduate, Trainee",Stanbic Bank Tanzania,"Maseru, Maseru District, Lesotho",Internship,Full-time,"Research, Analyst, and Information Technology",Financial Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4327731681,https://ls.linkedin.com/jobs/view/graduate-trainee-at-stanbic-bank-tanzania-4327731681,Bac+5 / Master / Ingénieur,N/A,General Search
2025-12-15,Cashier/Petrol Attendant,African Safari Group,"Brakpan, Gauteng, South Africa",Entry level,Full-time,Other,Travel Arrangements,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4349925220,https://za.linkedin.com/jobs/view/cashier-petrol-attendant-at-african-safari-group-4349925220,Bac+2 / BTS / DUT,N/A,General Search
2025-12-15,Patent Paralegal (Fixed-Term),EIP,"Sandton, Gauteng, South Africa",Entry level,Full-time,Legal,Law Practice,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4350130990,https://za.linkedin.com/jobs/view/patent-paralegal-fixed-term-at-eip-4350130990,Bac+5 / Master / Ingénieur,3 ans/years,General Search
2025-12-15,Cashier/Petrol Attendant,African Safari Group,"Soweto, Gauteng, South Africa",Entry level,Full-time,Other,Travel Arrangements,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4350040510,https://za.linkedin.com/jobs/view/cashier-petrol-attendant-at-african-safari-group-4350040510,Bac+2 / BTS / DUT,N/A,General Search
2025-12-15,"Graduate, Trainee- Technology",Stanbic Bank Tanzania,"Maseru, Maseru District, Lesotho",Internship,Full-time,Information Technology,Financial Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4327771763,https://ls.linkedin.com/jobs/view/graduate-trainee-technology-at-stanbic-bank-tanzania-4327771763,Bac+5 / Master / Ingénieur,N/A,General Search
2025-12-15,售后技术支持工程师,万丰奥特控股集团有限公司,"Sandton, Gauteng, South Africa",Entry level,Full-time,Information Technology,Machinery Manufacturing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4327723113,https://za.linkedin.com/jobs/view/%E5%94%AE%E5%90%8E%E6%8A%80%E6%9C%AF%E6%94%AF%E6%8C%81%E5%B7%A5%E7%A8%8B%E5%B8%88-at-%E4%B8%87%E4%B8%B0%E5%A5%A5%E7%89%B9%E6%8E%A7%E8%82%A1%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8-4327723113,N/A,N/A,General Search
