Date,Month,Title,Company,Location,Seniority,Employment Type,Job Functions,Industries,API Link,Original Link,Niveau Étude,Experience,Keyword
2025-12-25,December,Contrôleur de Gestion,TotalEnergies,"Algiers, Algiers, Algeria",Director,Full-time,Accounting/Auditing and Finance,Oil and Gas,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329185137,https://dz.linkedin.com/jobs/view/contr%C3%B4leur-de-gestion-at-totalenergies-4329185137,Bac+5 / Master / Ingénieur,Confirmé (3-5 ans),General Search
2025-12-25,December,Chargé(e) administratif(ve) et financier(ère),Concentrix,"Algiers, Algiers, Algeria",Not Applicable,Full-time,Other,IT Services and IT Consulting,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4348068044,https://dz.linkedin.com/jobs/view/charg%C3%A9-e-administratif-ve-et-financier-%C3%A8re-at-concentrix-4348068044,N/A,N/A,General Search
2025-12-25,December,Corporate Sales Representative,Turkish Airlines,"Algiers, Algeria",Associate,Full-time,Sales,Airlines and Aviation,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329195850,https://dz.linkedin.com/jobs/view/corporate-sales-representative-at-turkish-airlines-4329195850,Bac+5 / Master / Ingénieur,2 ans/years,General Search
2025-12-25,December,Assisstant Front Office Manager,Marriott International,"Algiers, Algiers, Algeria",Mid-Senior level,Full-time,Other,Hospitality,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329231575,https://dz.linkedin.com/jobs/view/assisstant-front-office-manager-at-marriott-international-4329231575,Bac+8 / Doctorat,2 ans/years,General Search
2025-12-25,December,HSE Specialist,DHL Global Forwarding,"Oran, Oran, Algeria",Mid-Senior level,Full-time,Management and Manufacturing,"Transportation, Logistics, Supply Chain and Storage",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4345671229,https://dz.linkedin.com/jobs/view/hse-specialist-at-dhl-global-forwarding-4345671229,Bac+5 / Master / Ingénieur,2 ans/years,General Search
2025-12-25,December,Luxury Lifestyle & Travel Specialist (Freelance),TENco,Algeria,Mid-Senior level,Full-time,Management and Manufacturing,Consumer Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346115843,https://dz.linkedin.com/jobs/view/luxury-lifestyle-travel-specialist-freelance-at-tenco-4346115843,N/A,N/A,General Search
2025-12-25,December,"Territory Account Manager, Algeria",Nutanix,Algeria,Mid-Senior level,Full-time,Sales and Business Development,Software Development,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4327608356,https://dz.linkedin.com/jobs/view/territory-account-manager-algeria-at-nutanix-4327608356,N/A,10 ans/years,General Search
2025-12-25,December,Sales Agent,Turkish Airlines,"Algiers, Algeria",Associate,Full-time,Sales,Airlines and Aviation,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329263672,https://dz.linkedin.com/jobs/view/sales-agent-at-turkish-airlines-4329263672,Bac+5 / Master / Ingénieur,N/A,General Search
2025-12-25,December,Serveur,Marriott International,"Oran, Oran, Algeria",Entry level,Full-time,Management and Manufacturing,Hospitality,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4326218830,https://dz.linkedin.com/jobs/view/serveur-at-marriott-international-4326218830,Bac+3 / Licence,N/A,General Search
2025-12-25,December,Social Media Manager (H/F) –  Oran,J'achète En Algérie,"Oran, Algeria",Mid-Senior level,Full-time,Marketing and Sales,Real Estate,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346290335,https://dz.linkedin.com/jobs/view/social-media-manager-h-f-%E2%80%93-oran-at-j-ach%C3%A8te-en-alg%C3%A9rie-4346290335,N/A,Confirmé (3-5 ans),General Search
