Date,Month,Title,Company,Location,Description,Seniority,Employment Type,Job Functions,Industries,API Link,Original Link,Niveau Étude,Experience,Keyword
2025-12-26,December,Client Manager Algeria,Siemens Energy,"Algiers, Algiers, Algeria","About The Role
Location:
Algeria
Mode of Employment:
Permanent/Full-time
Position Title
: Client Manager
A Snapshot of Your Day
Client Manager at Siemens Energy
Oversee our Compression Regional Service Sales team at Siemens Energy TI Compression as a Client Manager serving customers across Oil & Gas, chemical, and industrial sectors. This role provides a groundbreaking opportunity to be part of the energy industry's latest developments, utilizing innovative technology and promoting a balanced future. As the Client Manager, you manage client relationships, ensure client happiness, meet client needs, and drive Services bookings growth in your region.
How You’ll Make An Impact
Develop and manage long-term relationships with assigned clients.
Implement the sales capture plan and strategy for each customer, considering their needs and market dynamics.
Identify, build, and maintain a robust opportunity pipeline in Salesforce to support overall business sales targets. Effectively manage opportunities via CRM Tool (Salesforce.com), ensuring opportunities are regularly updated.
Maintain the accuracy (within SFDC) of the entire installed equipment population, including operating status and planned outages, and client data in the assigned territory.
Prepare, coordinate, and conduct proposal negotiations until closure of the opportunities in cooperation with other involved professionals.
Conduct Win/Loss analyses and provide input to fighting guides and regional competitive analyses.
What You Bring
Established history of achieving results, delivering on growth strategies, and proactively creating & converting sales opportunities in complex market environments.
The ideal candidate holds a Bachelor of Science in Engineering and has 5 years of experience in Energy, including 3 years in sales.
Turbomachinery experience/knowledge is mandatory; strong technical understanding of industrial compressors is preferred.
Business English speaking and writing skills are necessary.
Ability to work independently and interact with all levels within customer organizations; strong analytical and strategic problem solver with a focus on technical differentiation and value selling.
Proficient in communication, both written and spoken; able to discuss technical and commercial aspects; willingness to travel as required.
Who is Siemens Energy?
At Siemens Energy, we are more than just an energy technology company. We meet the growing energy demand across 90+ countries while ensuring our climate is protected. With more than 92,000 dedicated employees, we not only generate electricity for over 16% of the global community, but we’re also using our technology to help protect people and the environment.
Our global team is committed to making sustainable, reliable, and affordable energy a reality by pushing the boundaries of what is possible. We uphold a 150-year legacy of innovation that encourages our search for people who will support our focus on decarbonization, new technologies, and energy transformation.
Rewards
Working with a global team
Opportunities to work on and lead a variety of innovative projects
Possibility to take over further tasks within the company
Supportive work culture
Medical benefits
Remote/Flexible work
Time off/Paid holidays
Parental leave
Continual learning through the Learn@Siemens-Energy platform
e-Learning
Mentorship
Coaching
Open feedback culture
Our Commitment to Diversity
Lucky for us, we are not all the same. Through diversity we generate power. We run on inclusion and our combined creative energy is fueled by over 130 nationalities. Siemens Energy celebrates character – no matter what ethnic background, gender, age, religion, identity, or disability. We energize society, all of society, and we do not discriminate based on our differences.",Associate,Full-time,Sales,"Appliances, Electrical, and Electronics Manufacturing",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329330030,https://dz.linkedin.com/jobs/view/client-manager-algeria-at-siemens-energy-4329330030,Bac+8 / Doctorat,5 ans/years,General Search
2025-12-26,December,Responsable développement RH et communication interne,Bel,"Kolea, Tipaza, Algeria","Pays: Algerie
Ville: Kolea
Filière métier: Ressources Humaines
Type de contrat: CDI
Référence: 53111
Responsable développement RH et communication interne
Bel est un acteur majeur de l'alimentation à travers des portions de bien manger laitières, fruitières ou végétales, et l'un des leaders mondiaux du secteur des fromages de marque. Son portefeuille de produits différenciés et d'envergure internationale tels que La Vache qui rit®, Kiri®, Babybel®, Boursin®, Nurishh®, Pom'Potes® ou GoGo squeeZ®, ainsi qu'une trentaine d'autres marques locales, lui ont permis de réaliser en 2022 un chiffre d'affaires de 3,6 milliards d'euros.
Vous souhaitez rejoindre une entreprise dotée de marques fortes, qui place le consommateur et la responsabilité au cœur de ses décisions ? Bel est fait pour vous !
Vous êtes audacieux, pragmatique et déterminé ? Vous souhaitez contribuer à la transformation d’un groupe agroalimentaire international ? Alors venez mesurer l’impact de votre talent et de votre énergie sur la réalisation d’un projet d’entreprise ambitieux et durable !
Dans le cadre de sa politique sociale, le Groupe Bel est ouvert à toutes les compétences et s'engage à mener une politique handicap volontaire et durable.
#IWorkForAllForGood
LIEU
Kolea.
PRINCIPALES MISSIONS
Au sein de Bel Algérie, vous êtes chargé d'accompagner les processus de recrutement, de développement, de fidélisation des talents et de communication interne au sein de l'organisation, tout en contribuant à la mise en œuvre de la stratégie RH sur la gestion des compétences sur les périmètres commercial/Usine. Vous prenez également en charge le volet accompagnement du changement dans les projets structurants de l’entreprise.
PRINCIPALES RESPONSABILITÉS
Recrutement et intégration
Participer à la rédaction et à la publication des offres d’emploi à l’ANEM et aux différents sites de recrutement & cabinets.
Gérer le sourcing, la présélection et la planification des entretiens.
Accompagner les nouveaux talents dans leur onboarding pour garantir une intégration réussie.
Développer l’expérience collaborateur : onboarding, engagement, reconnaissance, QVT).
Gestion des talents et GPEC
Identifier les potentiels et suivre les parcours de développement interne.
Contribuer à la gestion de la mobilité (site, filiale, groupe international) et d’évolution de carrière.
Suivre les projets d’évaluation (360°, entretiens annuels, etc.).
Piloter et animer les campagnes process talents (People Review & plans de succession, entretiens de développements, campagne Impact & Reward…)
Coordonner le processus de gestion des talents et plan de succession : identification, cartographie, évaluation et fidélisation.
Déployer la GPEC : recensement et anticipation des besoins en compétences à court/moyen terme.
Formation et développement
Elaborer la note de cadrage annuelle de formation en cohérence avec les priorités groupe/filiale/unité.
Participer à la définition des besoins en formation en lien avec les managers.
Élaborer un plan de formation ciblé selon les priorités et expression de besoins.
Suivre le déploiement des actions de formation professionnelles.
Mettre en place et animer les référentiels de compétences Industriel/Business Unit (commerical &Supply Chain).
Suivre et Piloter le budget Formation
Superviser et suivre les dossiers de la taxe d’apprentissage et de formation professionnelle.
Mettre en place un plan de formation pluriannuel (technique, digital, soft skills).
Assurer l’évaluation et la mesure d’impact des actions de formation.
Communication interne
Contribuer à lélaborer la politique de communication interne de la filiale.
Elaborer le plan de communication et les supports à utiliser.
Diffuser l’image de marque auprès des collaborateurs et coordonner les actions, routines et évènements de communication.
Assurer les différentes formes de communications dans l’entreprise
Etablir les supports de communication.
Marque Employeur
Contribuer à la promotion de la marque employeur à travers les réseaux sociaux, événements, et partenariats.
Participer aux actions liées à la qualité de vie au travail et à la fidélisation des talents.
COMPETENCES REQUISES
Techniques
Connaissance des principes de recrutement et des outils (ATS, LinkedIn Recruiter, etc.).
Compétences pédagogiques de formation (formateur interne est un plus)
Maîtrise du cycle de formation (diagnostic, ingénierie, évaluation ROI)
Maîtrise des logiciels bureautiques (Excel, PowerPoint) et des outils digitaux RH (SIRH, e-learning, LMS, HR analytics)
Solide compréhension de la gestion des compétences et de la formation professionnelle.
Interpersonnelles
Excellentes capacités de communication et d'écoute.
Organisation, pédagogie et gestion des priorités.
Leadership collaboratif et capacité à travailler en équipe dans un environnement dynamique.
Orientation résultats et capacité à piloter plusieurs projets en parallèle.
Sens de l’autonomie et prise d’initiative.
Esprit d’innovation, curiosité et agilité.
PROFIL
Formation : Bac+5 en Ressources Humaines, Gestion, ou école de commerce avec spécialisation RH.
Expérience : expérience minimum de 5 années dans le domaine RH.
Langues : Parfaite maitrise arabe et français et bon niveau en anglais.
Dans le cadre de l'application de notre certification douanière (OEA), un extrait de casier judiciaire (bulletin n°3) pourra être demandé.
Si ce poste vous intéresse, nous vous invitons à cliquer dès à présent sur le bouton Postuler. L'équipe recrutement prendra alors très prochainement contact avec vous.",Mid-Senior level,Internship,Human Resources,Food and Beverage Manufacturing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346265534,https://dz.linkedin.com/jobs/view/responsable-d%C3%A9veloppement-rh-et-communication-interne-at-bel-4346265534,Bac+5 / Master / Ingénieur,5 ans/years,General Search
2025-12-26,December,Legal Assistant,Ait Amar Attorney at Law,"Algiers, Algiers, Algeria","Company Description
Ait Amar Law-firm acts as a bridge between business communities and cultures, connecting companies and entrepreneurs from Europe, Russia, Africa, America, and Asia. Through legal expertise, consultancy, advisory, and concrete business facilitating activities, we enhance international cooperation and enable companies to enter new markets. By doing so, we mutually enrich both sides through cultural diversity and economic input. Our diversified portfolio offers numerous opportunities for corporations looking to expand internationally.
Role Description
This is a full-time on-site role for a Legal Assistant located in Algiers. The Legal Assistant will be responsible for preparing legal documents, providing administrative assistance, and supporting attorneys with their day-to-day tasks. Other duties include maintaining communication with clients and stakeholders, managing case files, and assisting with legal research.
Qualifications
Skills in Law and Legal Document Preparation
Strong Communication and Interpersonal Abilities
Administrative Assistance skills
Experience as a Legal Assistant or similar role
Excellent organizational and time-management skills
Attention to detail and ability to work in a fast-paced environment
Proficiency in legal research and familiarity with legal terminology
Bachelor's degree in Law, Paralegal Studies, or related field is preferred",Entry level,Full-time,Legal,Legal Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4350581933,https://dz.linkedin.com/jobs/view/legal-assistant-at-ait-amar-attorney-at-law-4350581933,Bac+4,N/A,General Search
2025-12-26,December,Quality Assurance Quality Control Engineer,Sofomation,Algeria,"Opening in One Of The Most Reputed OIL & GAS Company in Middle East:
Position:
QA/QC Inspection Specialist
Qualification:
10+ years of experience in QA/QC activities for Oil and Gas industry.
Minimum Requirement:
Bachelor’s degree in Mechanical or Metallurgical Engineering.
Professional qualifications & certification in welding, NDT, Inspection.
10+ years of experience in QA/QC activities for Oil and Gas industry.
Knowledgeable in the QA/QC activities of pressure vessels, tanks, piping fabrication, welding, NDT & Auditing.
Ensures that the quality of engineering, procurement, construction, installation of new equipment, modifications and repairs for onshore plant and offshore facilities is meeting the requirements of Codes, Standards, Specifications and Company Policies and Procedures.
Prepare and review Policies and Procedures of Plant QA/QC Section, e.g.: Gas cylinder Inspection, Portable Tank Inspection, Valve testing, Lifting Lug Welding & Inspection etc. and assist in revision/ updating of the same on time including support for various other QA/QC Procedures.
**You Can Apply Directly or Share your Updated CV on Salman@sofomation.com**",Mid-Senior level,Full-time,"Engineering, Quality Assurance, and Other",Oil and Gas,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4345822967,https://dz.linkedin.com/jobs/view/quality-assurance-quality-control-engineer-at-sofomation-4345822967,Bac+5 / Master / Ingénieur,10 ans/years,General Search
2025-12-26,December,HR Director – Algeria Operations,Confidential,"Algiers, Algeria","Job Summary
The HR Director is responsible to plan, lead, direct, develop, and coordinate the policies, activities, and staff of the Human Resource (HR) department, ensuring legal compliance and implementation of the organizations mission and talent strategy. The position manages the development of the organization strategies by identifying and researching human resources issues; contributing information, analysis, and recommendations to organization strategic thinking and direction; establishing human resources objectives in line with organizational objectives.
Job Responsibilities
Develop and implement HR strategies and initiatives aligned with the overall business strategy for the business unit.
Oversee recruitment and selection processes to ensure the acquisition of top talent.
Manage and coordinate employee relations, addressing grievances, and resolving issues promptly.
Develop and monitor overall HR systems, tactics, and procedures across the business unit.
Provide support and guidance to HR personnel across the business unit on HR-related matters.
Ensure compliance with labor regulations and company policies within all business unit operations.
Oversee performance management, including setting KPIs, conducting evaluations, and implementing improvement plans.
Design and implement training and development programs to enhance employee skills and career growth.
Manage compensation and benefits programs to ensure competitiveness and alignment with business objectives.
Lead and support organizational change initiatives, fostering a positive and inclusive work culture.
Job Knowledge & Skills
Expertise in aligning HR strategies with business goals and driving organizational performance.
Strong skills in managing employee relations, handling grievances, and resolving conflicts.
Proficiency in recruitment and selection processes to attract and retain top talent.
Strong experience and knowledge of Algeria labor laws and regulations to ensure organizational compliance.
Excellent leadership and communication skills to guide HR teams and collaborate with senior management.
ERP knowledge preferably SAP functional skills are a requirement to be successful in this role.
Job Experience
Minimum 8 years working experience, 5 years in a relevant supervisory position
Education
Bachelor's Degree
Master's degree in Human Resource or any related field",Director,Full-time,Human Resources,Dairy Product Manufacturing and Food and Beverage Manufacturing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346157742,https://dz.linkedin.com/jobs/view/hr-director-%E2%80%93-algeria-operations-at-confidential-4346157742,Bac+5 / Master / Ingénieur,8 ans/years,General Search
2025-12-26,December,Sales Representative - Completions and Wellbore Intervention,Baker Hughes,"Algiers, Algiers, Algeria","Are you passionate about providing complex technical solutions?
Do you enjoy being part of a successful Completion and Wellbore Intervention team?
Join our Completions & Wellbore Intervention Team
Our Completions business drawing from the industry’s broadest portfolio of proven products and innovative technologies. We create improvements and efficiency through service delivery, remote operations, automation and advanced analytics.
Partner with the best
As a Sales Representative - Completions and Wellbore Intervention, you will be responsible for:
Selling product(s), services, parts, solutions, or projects
Handling products and systems requiring technical knowledge.
Contributing to frameworks for prices and conditions.
Handling diverse clients in a region.
Cooperating with technical sales support to realize sales.
Leading a department with large estimated orders.
Handling local focus on medium size territory
Fuel your passion
To be successful in this role you will:
Have a minimum of a Technical Diploma or higher
Have a minimum of 3 additional years of experience in Sales.
Have strong oral and written communication skills.
Have strong interpersonal and leadership skills.
Have the ability to influence others and lead small teams.
Have the ability to coordinate several projects simultaneously.
Work in a way that works for you
We recognize that everyone is different and that the way in which people want to work and deliver at their best is different for everyone too. In this role, we can offer the following flexible working patterns:
Flexibility within the day or week to get the job done
Working with us
Our people are at the heart of what we do at Baker Hughes. We know we are better when all of our people are developed, engaged and able to bring their whole authentic selves to work. We invest in the health and well-being of our workforce, train and reward talent and develop leaders at all levels to bring out the best in each other.
﻿
Working for you
Our inventions have revolutionized energy for over a century. But to keep going forward tomorrow, we know we have to push the boundaries today. We prioritize rewarding those who embrace change with a package that reflects how much we value their input. Join us, and you can expect:
Contemporary work-life balance policies and wellbeing activities
Comprehensive private medical care options
Safety net of life insurance and disability programs
Tailored financial programs
Additional elected or voluntary benefits
About Us:
We are an energy technology company that provides solutions to energy and industrial customers worldwide. Built on a century of experience and conducting business in over 120 countries, our innovative technologies and services are taking energy forward – making it safer, cleaner and more efficient for people and the planet.
Join Us:
Are you seeking an opportunity to make a real difference in a company that values innovation and progress? Join us and become part of a team of people who will challenge and inspire you! Let’s come together and take energy forward.
Baker Hughes Company is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.
R153255",Entry level,Full-time,Sales and Business Development,Energy Technology,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346226542,https://dz.linkedin.com/jobs/view/sales-representative-completions-and-wellbore-intervention-at-baker-hughes-4346226542,N/A,N/A,General Search
2025-12-26,December,DIRECTEUR TECHNIQUE PRODUCTION DM,BEYKEN MEDICAL DZ,"Constantine, Algeria","Dans le cadre de notre expansion vers la fabrication de dispositifs médicaux, Nous recrutons :
*Un(e) PHARMACIEN(NE) DT PRODUCTION
*Un(e) ASSISTANT(E) DT
✅ Profil recherché :
Expérience exigée pour le poste de DT : Minimum 2 ans dans le domaine de la production pharmaceutique ou des dispositifs médicaux
Qualités requises :
Maitrise des BPF et connaissance des normes de qualité pour les DM
Maitrise des affaires règlementaires et dossiers techniques
Aptitude au déplacement et à assurer la coordination avec les autorités compétentes
veuillez adresser vos candidatures à l'adresse suivante :
rh@beykenmedical.com",Director,Full-time,Information Technology,Medical Equipment Manufacturing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4350492751,https://dz.linkedin.com/jobs/view/directeur-technique-production-dm-at-beyken-medical-dz-4350492751,N/A,2 ans/years,General Search
2025-12-26,December,Vidéaste monteur – Vidéos courtes pour réseaux sociaux          (Part time - fully Remote),Hikma Virtual Partners,Algeria,"Description Hikma Virtual Partners
Nous sommes une start-up spécialisée dans la mise en relation de talents créatifs avec des entreprises en Algérie et à l’international. Notre mission : proposer à nos clients les meilleurs profils pour leurs projets dans des secteurs variés, notamment le marketing digital. Dans ce cadre, nous recrutons actuellement un vidéaste monteur basé en Algérie, pour collaborer à distance avec l’un de nos clients actifs dans la création de contenus publicitaires pour les réseaux sociaux.
Description de poste
En tant que vidéaste monteur, vous travaillerez directement avec notre client pour produire des contenus vidéo percutants, à destination des plateformes TikTok, Instagram Reels et YouTube Shorts.
Vos missions incluront :
Le montage de vidéos courtes à partir de rushs fournis
L’ajout d’effets visuels dynamiques, de sous-titres stylisés, de transitions engageantes et de musiques adaptées
La participation à la mise en scène d’un storytelling efficace, en lien avec les codes des réseaux sociaux
L’adaptation du contenu en fonction de la plateforme et du public cible
Participer à la
réalisation ponctuelle de vidéos
(captation) en soutien au client
Effectuer des
déplacements occasionnels à Alger
, en fonction des besoins de tournage
Une collaboration fluide avec le client, en respectant les délais de livraison et les retours
Ce poste est à temps partiel, à raison de 5 heures par jour, en télétravail intégral.
Langue de travail : Français (à l’oral et à l’écrit)
Rémunération : 80 000 DZD / mois
Profile candidat.e
Vous avez plusieurs années d’expérience en montage vidéo, idéalement dans un cadre créatif ou publicitaire
Vous maîtrisez un ou plusieurs outils de montage : Adobe Premiere Pro, After Effects, CapCut, DaVinci Resolve, etc.
Vous avez un excellent sens du rythme, du storytelling et de la narration visuelle
Vous êtes à l’aise avec les codes des réseaux sociaux et les formats viraux
Créatif·ve, autonome et réactif·ve, vous savez gérer votre temps tout en restant disponible pour des échanges réguliers avec le client",Entry level,Part-time,"Marketing, Public Relations, and Writing/Editing",IT Services and IT Consulting,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4350472410,https://dz.linkedin.com/jobs/view/vid%C3%A9aste-monteur-%E2%80%93-vid%C3%A9os-courtes-pour-r%C3%A9seaux-sociaux-part-time-fully-remote-at-hikma-virtual-partners-4350472410,N/A,N/A,General Search
2025-12-26,December,Lead Electrical Substation Protection and Control Engineer (Ingénieur protection et CCN des postes Electriques),GE Vernova,"Algiers, Algiers, Algeria","Job Description Summary
What Impact You'll Make:
“GE Vernova Grid Automation is proud to lead expanding Algeria Power Transmission Network with 170 SS during the first phase. Additionally we lead the localization of Grid Automation Integration industry for Protection, CCN, and Telecommunications.
This job will let you contribute to expanding Algeria Power Transmission Network and support Algerian Integration Facility to localize this industry.”
Job Description
In this role, the successful candidate will be responsible for the Engineering & Field Services of the Electrical Substation Protection and Control Systems including CCN (Contrôle Commande Numérique). You will closely coordinate your activities with GE sales, Tendering, Project management, Telecom, Applications, and After Sales. This position will report to GA NAFT Engineering & Field Services leader.
Vernova Purpose
GE Vernova is accelerating the path to more reliable, affordable, and sustainable energy, while helping our customers power economies and deliver the electricity that is vital to health, safety, security, and improved quality of life. Are you excited at the opportunity to electrify and decarbonize the world?
What You Will Do
Responsible for the Engineering & Field Services of the of the Electrical Substation Protection and Control Systems including Substation Automation CCN (Contrôle Commande Numérique ).
Take the complete ownership of technical activities for assigned projects (Site Survey, Engineering, Design, Ordering Material, follow up material delivery, Follow Up and Support Panels Integration, Pre-FAT Internal Validation, FAT with customer, Supervise Site installations, Conduct Site testing and commissioning, Site Red mark-up and As Built Drawings, system troubleshooting and rectification).
Analyze customer requirements & specifications to propose innovative and cost-effective solutions.
Lead the design and implementation of the Electrical Substation LAN networks Architectures and configuration of Substation ethernet switches / routers and GPS satellite clocks.
Generate Purchase Requests for Materials required under the project with technical description.
Participate with Project manager in customer, end user, subcontractor, and internal meetings.
Generate Purchase Requests for Materials required under the project with technical description.
Manage project document flow.
Follow the departments standard design process and contribute to continuously improving it.
Co-ordination with the Panels integration team at the Integration Facility to ensure smooth operation of Panels integration activity with relation to materials and documentation.
Lead and conduct Pre-FAT Internal Validation and FAT with customer.
Lead and conduct Site installations supervision, Site testing and commissioning, Site Red mark-up and As Built Drawings, system troubleshooting and rectification.
Support Sales and Tendering team - Study customer’s technical & commercial requirements. Support Management during contract negotiation Deliver Customer trainings with high customer-satisfaction.
What You Will Bring
Engineering degree (5 Years University Education) in Electrical Engineering ,Communications, Instrumentation and Control and Electronics from an accredited university.
Minimum of 5 years of experience in engineering and commissioning of Electrical Substation Protection and Control Panels including product selections, Configuration, FAT, site installations supervision, Site testing and commissioning, as well as system troubleshooting and rectification.
Knowledge and Site experience in conventional and digital control systems (CCN) (Contrôle Commande Numérique) of electrical power substations using IEC-61850 protocol.
Knowledge of Electrical Substation operation Sequencing & interlocking principles and their implementation in IEC61850 IED’s.
Strong understanding of Algeria customer solutions / products specifications.
knowledge of communication/Automation protocols such as IEC 61850, MODBUS, IEC 101/104 & T103.
Good knowledge of IT Networking. CCNA certified or equivalent will be preferred.
knowledge of Cyber security solutions implementation in the field of Electrical Substation Automation.
Good knowledge and use of CAD software’s such as AutoCAD, MS-VISIO.
Excellent in MS-Office package (Word, Excel, Power Point, Outlook).
Ability and willingness to travel inside and outside Algeria without limitations.
Fluent in English, French and Arabic languages. (oral, reading and writing).
What Will Make You Stand Out
Strong interpersonal and interpersonal and leadership skills.
Strong analytical skills to quickly understand and guide solutions to customer issues.
Strong problem-solving skills, with an emphasis on innovative and creative solutions that result in higher profitability, increased visibility & market penetration.
Strong written & verbal communication skills.
Strong presentation and training skills.
Professional experience with Algerian customers within Electrical utility customers, EPCs, OEMs and system integrators
Proactive work style, creativity, high energy, Strong teamworking skills.
Fast learner, willing to learn new technologies improve his technical capabilities.
Strong Time Management skills, and ability to work under stress and react positively to sudden requests from internal and external customers and stakeholders.
Benefits Available To You
GE Vernova employees rise to the challenge of building a world that works. In order to meet this mission, we provide varied, competitive benefits to help support our workforce: Our Culture | GE Vernova (gecareers.com)
Our compensation & benefits are designed to reward high performers and help you manage your personal and family needs. We offer a robust benefits package depending on your employment status and your national requirements.
A healthy, balanced lifestyle can mean different things to different people. We've created programs that support the way you live and work today.
GE Vernova invests to provide opportunities to grow your career by providing a path for continued on-the-job learning and development.
Inclusion & Diversity
At GE Vernova, we believe in the value of your unique identity, background and experiences. We are committed to fostering an
inclusive
culture
, where everyone feels empowered to do their best work because they feel accepted, respected and that they belong. Click here to learn more: https://jobs.gecareers.com/vernova/global/en/i-d-e
Additional Information
Relocation Assistance Provided:
Yes",Mid-Senior level,Full-time,Engineering and Information Technology,Electric Power Generation,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346216044,https://dz.linkedin.com/jobs/view/lead-electrical-substation-protection-and-control-engineer-ing%C3%A9nieur-protection-et-ccn-des-postes-electriques-at-ge-vernova-4346216044,Bac+5 / Master / Ingénieur,5 ans/years,General Search
2025-12-26,December,Insurance Specialist (Fluent in French) - Freelance AI Trainer Project,"Meridial Marketplace, by Invisible",Algeria,"Are you a master of insurance fluent in French eager to shape the future of AI? Large‑scale language models are evolving from clever chatbots into powerful engines of financial literacy, risk analysis, and claims automation. With high‑quality training data, tomorrow’s AI can support insurance professionals, streamline customer experiences, and enhance regulatory compliance. That training data begins with you—we need your expertise to help power the next generation of AI.
We’re looking for insurance specialists who live and breathe underwriting, claims processing, policy design, actuarial analysis, reinsurance, and risk management—especially with deep knowledge of insurance practices and regulations in French-speaking regions. You’ll challenge advanced language models on topics like life, health, property, casualty, and commercial insurance; fraud detection; regulatory frameworks; and customer communication—documenting every failure mode so we can harden model reasoning.
On a typical day, you will converse with the model in both English and French on real-world insurance scenarios and technical questions, verify factual accuracy and industry logic, capture reproducible error traces, and suggest improvements to our prompt engineering and evaluation metrics.
A master’s degree in insurance, finance, business administration, actuarial science, or a closely related field is ideal; fluency in French, professional certifications (e.g., CPCU, AIC), and hands-on experience in the insurance industry signal fit. Clear, metacognitive communication—“showing your work”—is essential.
Ready to turn your insurance expertise and French fluency into the knowledge base for tomorrow’s AI? Apply today and start teaching the model that will teach the world.
We offer a pay range of $8-to- $65 per hour, with the exact rate determined after evaluating your experience, expertise, and geographic location. Final offer amounts may vary from the pay range listed above. As a contractor you’ll supply a secure computer and high‑speed internet; company‑sponsored benefits such as health insurance and PTO do not apply.
Job title: Insurance Specialist (Fluent in French) – AI Trainer
Employment type: Contract
Workplace type: Remote
Seniority level: Mid‑Senior Level",Mid-Senior level,Contract,Other,Software Development,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4277437416,https://dz.linkedin.com/jobs/view/insurance-specialist-fluent-in-french-freelance-ai-trainer-project-at-meridial-marketplace-by-invisible-4277437416,Bac+5 / Master / Ingénieur,Senior (> 5 ans),General Search
